# CEL: Rejestr kosztow API (model jezykowy, web search, grafiki). Zrodlo prawdy = tabela model_usage w bazie; ten CSV to czytelny eksport.
# 2026-08-13 - 0040 conservative CONTENT/role reconciliation candidate offline - 0.000000 USD actual; fake callery i temp DB; production-copy rehearsal removed; no production reconciliation/API/live/publication; actual known remains 5.172339 USD and unresolved production exposure remains 0.738880 USD.
# 2026-08-13 - merge PR #46, backup i produkcyjna migracja 0038→0039 - 0.000000 USD actual; zero provider API/live/publikacji/rekonsyliacji, znany koszt pozostaje 5.172339 USD, nierozstrzygnięta ekspozycja pozostaje 0.738880 USD.
# 2026-08-13 - PR #46 review-only repair candidate offline - 0.000000 USD actual; fake SDK/callery i nowe temp DB, zero sieci/provider requestow/publikacji oraz zero zapisu produkcyjnego.
# 2026-08-13 - PR #46 five-major focused repair offline - 0.000000 USD actual; fake SDK/callery, temp DB, zero provider API/browsera/publikacji i zero zapisu produkcyjnego.
# Format kolumn wg specyfikacji wlasciciela. Kwoty w USD. Bez sekretow.
# Jesli koszt jest tylko szacunkiem -> zaznacz w kolumnie notes (np. "szacunek").
# 2026-08-11 - PRE-LIVE CONTENT UNBLOCK B1/B2/B4/B5 candidate; B3 BLOCKED: new 6/6, root bez reviewera zatrzymany przed SDK/usage/cost, tylko nowe temp SQLite - 0.000000 USD actual; zero API/sieci/browsera/publikacji i zero migracji produkcji.
# Linie z '#' to komentarze (pomijane przy imporcie, np. pandas comment='#').
# 2026-08-10 - FABLE QUALIFICATION AUTHORITY PACKAGE offline - koszt 0.000000 USD; repo-only trace, produkcja immutable, synthetic owner values/fake caller i nowe temp DB; zero sieci/API/qualification/C5/publikacji.
# 2026-08-10 - production schema migration 0020->0030 - koszt 0.000000 USD; lokalne SQLite CLI, zero realnego API, qualification, C5 i publikacji.
# 2026-08-10 - MIGRATION TRANSACTIONALITY REPAIR 0026/0027 - koszt 0.000000 USD; wylacznie lokalne testy i nowe temp DB; zero realnego API, kwalifikacji, C5 i publikacji.
date,run_id,task,provider,model,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,web_search_requests,image_count,estimated_cost_usd,notes
2026-08-11,,article_research_sonnet_qualification_preflight,anthropic,claude-sonnet-5,0,0,0,0,0,0,0.000000,actual; STOP ROLE_FAMILY_POLICY_INVALID before canary/approval/API
2026-08-11,,authoritative_research_preflight,,,0,0,0,0,0,0,0.000000,actual; STOP ARTICLE_RESEARCH ACTIVE_MODEL_MISSING before enqueue/L1/API; C5 not started
2026-08-11,,c5_controlled_preflight,,,0,0,0,0,0,0,0.000000,actual; STOP CONTENT_EVIDENCE_INCOMPLETE before approval/provider; no API and no publication
2026-07-11,,audit-and-docs,anthropic,,0,0,0,0,0,0,0.00,audyt + struktura dokumentacji; brak platnych wywolan API (dry_run); szacunek
2026-07-11,92f64226-93dc-4b77-a773-208fe170d052,topics,anthropic,claude-haiku-4-5,1200,600,0,0,0,0,0.004200,dry_run estimate (no real charge)
2026-07-11,99ad1c38-b203-4bd3-93fd-4168a04e4f48,topics,anthropic,claude-haiku-4-5,1200,600,0,0,0,0,0.004200,dry_run estimate (no real charge)
2026-07-11,bda661bc-59c9-4f4e-9313-86c659bde74d,research,anthropic,claude-sonnet-5,3200,1200,0,0,4,0,0.049200,dry_run estimate (no real charge)
2026-07-11,c0be683e-0ec0-4957-b56a-f4a8c5765119,topics,anthropic,claude-haiku-4-5,1200,600,0,0,0,0,0.004200,dry_run estimate (no real charge)
2026-07-11,1b649314-27cf-4b29-857e-287175664a3f,research,anthropic,claude-sonnet-5,,,0,0,4,0,0.250000,REAL call (approved, capped run) - JSON truncated/unparseable - CONFIRMED actual cost from Anthropic Console: 0.21 USD tokens + 0.04 USD web search = 0.25 USD total (web_search_requests=4 inferred from 0.04/0.01 per search). Token input/output split not available at this granularity (console gave category totals only). Pre-flight estimate at the time was 0.095 USD - actual was 2.63x higher (+163% error) - see ERRORS_AND_FAILURES.md "Pre-flight cost estimator underestimated the real cost".
# 2026-07-12 - Etap 1E (resumability, ADR-019) - ZERO platnych wywolan API w tym zadaniu; wylacznie klienty zastepcze i migracja lokalna. Nowa kalibrowana projekcja dla NASTEPNEGO kontrolowanego realnego testu (jeszcze niewykonanego, czeka na zgode): Etap A (source collection, max 4 web search) ~0.36 USD; Etap B (synthesis, 0 web search) ~0.02 USD; pelna Research Card (A+B) ~0.38 USD; samo wznowienie Etapu B (bez A) ~0.02 USD. Margines bezpieczenstwa +50% wliczony (app/research/cost_estimator.py, wymog z ADR-016). Po realnym tescie ten wiersz zostanie zastapiony/uzupelniony faktycznymi wierszami z run_id i rzeczywistym kosztem, tak jak przy incydencie 2026-07-11.
